,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
35332,93,936,31480,12,14,2,43,0,1,14,33502,StateRun
9215,26,246,8770,2,15,1,41,1,1,5,21325,FarmForestAqua
35189,93,934,31426,12,15,5,31,1,1,12,37427,StateRun
6334,19,164,5437,3,14,4,27,0,1,16,5649,StateRun
30511,82,820,28495,20,15,2,55,0,0,2,950,HomeBusiness
10829,30,299,11188,6,15,1,36,1,1,3,21231,HomeBusiness
90,1,2,55,11,14,2,48,0,1,12,22571,StateRun
26740,74,722,25876,5,14,1,28,1,1,2,27221,FarmForestAqua
28906,79,770,27145,6,14,4,32,1,1,12,44446,Private
7440,22,194,6745,1,20,3,27,1,1,14,27216,StateRun
28624,79,765,26905,11,19,3,21,1,1,9,57288,Private
29315,79,778,27484,6,15,1,55,1,1,16,61036,Foreign
18231,48,491,20203,6,15,5,31,0,0,12,21800,Private
13664,36,364,14146,8,20,1,32,1,1,9,26309,HomeBusiness
21323,56,571,22498,5,13,1,31,1,1,8,17558,HomeBusiness
27116,75,731,26011,10,15,1,24,0,0,16,30435,Private
12847,35,350,13414,8,14,3,16,1,0,6,6933,HomeBusiness
16017,40,429,17830,7,13,3,27,1,0,12,11611,StateRun
6956,20,181,6091,6,14,1,29,1,1,12,20449,StateRun
27234,75,731,26371,14,13,4,29,1,1,12,30902,Foreign
21899,58,587,22873,20,14,3,15,0,0,9,1260,HomeBusiness
32433,87,867,29911,35,14,2,39,0,1,4,14848,FarmForestAqua
27258,75,731,26377,3,14,3,19,0,0,11,34819,Foreign
26260,72,709,25642,23,13,4,16,1,0,0,14605,HomeBusiness
7370,22,193,6685,22,14,4,21,1,0,12,24200,Private
11122,31,306,11419,16,19,1,56,1,1,9,46055,HomeBusiness
10961,31,304,11329,13,15,1,50,1,1,12,39734,StateRun
5451,15,132,4261,7,14,2,49,0,1,16,20353,StateRun
1930,2,30,970,7,15,1,43,1,1,9,6120,StateRun
33886,91,900,30781,1,14,1,40,1,1,5,33696,HomeBusiness
10590,30,294,10879,8,13,3,32,0,0,6,15769,Private
27218,75,731,26050,31,13,2,50,1,1,12,53988,StateRun
10525,30,293,10795,2,13,3,29,1,0,12,28720,HomeBusiness
29920,80,804,28036,1,13,3,36,1,1,11,29646,HomeBusiness
28228,77,752,26668,1,15,2,32,1,0,0,13600,HomeBusiness
25472,68,683,25180,5,15,1,29,1,1,12,25712,HomeBusiness
25607,70,691,25246,7,13,5,23,0,1,9,10129,FarmForestAqua
13877,37,370,14368,11,14,1,33,1,1,12,56088,Private
21014,54,564,22297,9,14,2,42,0,1,6,10000,Foreign
16011,40,429,17827,3,14,3,24,0,0,16,18077,StateRun
9936,27,260,9337,4,13,1,46,1,1,12,15787,StateRun
2668,6,61,1888,1,13,4,23,1,0,12,4369,FarmForestAqua
35708,94,947,31714,17,13,1,22,0,1,2,10334,FarmForestAqua
9158,26,243,8728,17,13,2,25,0,1,12,29291,Foreign
3721,10,86,2932,5,19,3,28,1,1,9,12910,HomeBusiness
10579,30,294,10846,20,15,1,34,1,1,9,32795,Private
9417,26,249,8944,6,13,3,18,1,0,12,3418,HomeBusiness
8479,24,223,7855,9,13,3,25,0,0,9,38185,HomeBusiness
22015,58,588,22856,7,13,1,36,1,1,0,13020,Private
4743,12,110,3595,4,14,2,32,0,1,12,33522,StateRun
1171,1,273,9805,9,14,1,53,0,1,9,8673,FarmForestAqua
16567,42,446,18673,12,14,1,57,1,1,16,68082,StateRun
27113,75,731,26011,10,14,1,44,1,1,5,56350,HomeBusiness
25991,72,703,25474,1,19,1,53,0,0,2,3513,HomeBusiness
28357,79,760,26734,45,20,3,26,1,0,16,95727,Private
33381,89,889,30475,20,14,10,32,0,1,0,2971,FarmForestAqua
6514,19,167,5590,15,15,2,16,0,0,7,9291,Private
10312,30,288,10669,1,19,3,36,0,1,9,19702,FarmForestAqua
1858,2,29,892,5,20,1,40,1,1,12,41850,StateRun
19028,49,509,20651,5,13,1,41,1,1,7,22203,Private
34795,92,925,31249,18,13,2,17,0,0,10,5400,Private
